country,2010,2011,2012,2013,2014,2015,2016
Liberia,53.1334,53.71395,54.237,54.761849999999995,55.302674999999994,55.831,56.375
Lithuania,49.46515,49.995599999999975,50.599999999999994,51.101850000000006,51.606099999999984,52.0428,52.41075000000001
Luxembourg,58.53869999999999,59.31807500000001,59.987350000000006,60.700199999999995,61.334900000000005,61.9344,62.6179
Malawi,47.6762,49.1487,50.3937,51.563700000000004,52.46025000000001,53.3352,54.004400000000004
Malaysia,56.72905,57.179849999999995,57.594875,58.011300000000006,58.4278,58.695,59.07735
Maldives,52.54350000000001,53.1396,53.4735,53.884949999999996,54.368300000000005,54.85365,55.338025
Mali,48.34375,48.7932,49.215475,49.566075,49.9605,50.4275,50.82215
Malta,56.89739999999999,57.519999999999996,57.9846,58.57885,59.127250000000004,59.681000000000004,60.192825
Mauritius,56.63175,56.862899999999996,57.202,57.54375,57.810425,58.115025,58.38139999999999
Mexico,63.010799999999996,63.51625,64.09960000000001,64.569925,65.16075000000001,65.7153,66.19035
Moldova,52.2696,52.61004999999999,52.91250000000002,53.106075000000004,53.295,53.482,53.521
Mongolia,48.56845,49.129999999999995,49.726800000000004,50.150999999999996,50.577,50.82739999999999,51.35600000000001
Montenegro,38.866625,39.451475,39.96427500000001,40.492000000000004,40.88109999999998,41.41064999999999,41.672549999999994
Morocco,58.23562499999998,58.253225,58.266000000000005,58.0875,58.01775,57.79575000000002,57.6459
Mozambique,44.02057500000001,44.780125,45.51775,46.204325000000004,46.911,47.590075,48.289249999999996
Myanmar,49.220825000000005,49.94375,50.528875,51.221774999999994,51.74715,52.26292499999999,52.74087500000001
Namibia,45.35700000000001,46.371,47.415375,48.31295,49.093450000000004,49.65415,50.18614999999999
Nepal,49.093875,49.929674999999996,50.843199999999996,51.58590000000001,52.266825,53.01915000000001,53.67405000000001
Netherlands,56.732099999999996,57.55545000000001,58.10340000000001,58.81604999999999,59.49072500000002,60.09035,60.69177499999999
New Zealand,64.59960000000002,65.48840000000001,66.178,66.87010000000001,67.5234,68.21950000000001,68.796
Niger,52.80320000000001,53.377624999999995,53.92230000000001,54.373125,54.80625,55.13295,55.44225
Nigeria,47.671875,48.14505,48.57215,49.021,49.475825,49.9525,50.40335
Norway,59.280075000000004,60.56850000000002,61.614000000000004,62.625550000000004,63.6404,64.6554,65.63669999999998
Oman,70.27020000000002,70.416875,70.57125,70.67904999999998,70.87094999999998,71.02399999999997,71.1693
Pakistan,51.54059999999999,51.90185,52.198649999999994,52.529175,52.820775000000005,53.113175,53.36625
Panama,70.40925,70.90085,71.42520000000002,71.88125,72.37754999999997,72.8365,73.29684999999999
Papua New Guinea,36.19964999999999,37.321175,38.317499999999995,39.28545,40.06154999999999,41.069874999999996,41.8856
Paraguay,59.218475,60.03,60.81354999999998,61.558249999999994,62.18987499999998,62.82300000000002,63.464400000000005
Philippines,49.59202499999999,50.041500000000006,50.528849999999984,50.94640000000001,51.50564999999999,51.997749999999996,52.42225
Poland,51.735625,52.4025,53.111000000000004,53.745999999999995,54.5385,55.1088,55.71679999999999
Portugal,60.604150000000004,60.954075,61.226699999999994,61.58047499999999,61.81412499999999,62.048175,62.363775000000004
Qatar,67.5213,67.5304,67.66499999999999,67.67790000000001,67.6944,67.78475,67.75697500000001
Romania,49.502425,50.074725,50.724675000000005,51.34395000000001,51.894099999999995,52.37115,52.815
Russia,39.893100000000004,40.315725,40.745875000000005,41.15474999999999,41.47155000000001,41.76010000000001,42.026075
Rwanda,53.855850000000004,54.826800000000006,55.770999999999994,56.58,57.285900000000005,57.96229999999999,58.47765
Samoa,49.36755000000002,50.37394999999998,51.31665000000002,52.11935,52.92685,53.7782,54.55890000000001
Saudi Arabia,64.015,63.99102499999999,64.23837499999999,64.337625,64.39925,64.4917,64.6272
Senegal,58.106649999999995,58.793,59.357699999999994,60.02227499999999,60.46560000000001,60.963800000000006,61.396499999999996
Serbia,42.772,43.27974999999999,43.955,44.4465,44.8651,45.44277500000001,45.9096
Seychelles,56.42682499999998,56.689049999999995,56.94959999999998,57.2153,57.51375,57.85449999999998,58.046099999999996
Sierra Leone,33.91974999999999,34.8635,35.86975,36.7276,37.422775,38.22735,38.861575
Singapore,68.2629,68.388,68.637625,68.6392,68.84745000000001,68.97240000000002,69.055875
Slovak Republic,52.28375,52.52939999999999,52.778700000000015,53.06665000000002,53.2092,53.310075,53.452799999999996
Slovenia,60.342275,60.689750000000004,61.198224999999994,61.628449999999994,61.983225,62.339,62.69577499999998
South Africa,43.892775,44.9985,46.1475,47.29105,48.290549999999996,49.11257499999999,49.8318
South Korea,58.534975,59.3145,60.0615,60.77175,61.4448,62.12414999999999,62.689
Spain,55.07775,55.70484999999999,56.3274,56.95950000000002,57.58739999999999,58.272375,58.6686
Sri Lanka,63.5748,63.772,64.0068,64.172875,64.4889,64.61805000000003,64.978375
Suriname,47.095825000000005,48.32345,49.488200000000006,50.58765,51.5488,52.5861,53.51775
Sweden,62.675775,63.4032,64.17210000000001,64.86342499999998,65.5979,66.2515,66.908175
Switzerland,59.353375,59.9048,60.22022500000001,60.57774999999998,61.0512,61.36935,61.813125
Tanzania,50.32295,51.345125,52.260525,53.1926,54.18479999999999,54.980175,55.845
Thailand,57.609,58.100625,58.51975,58.865625,59.2105,59.7464,60.01627499999999
Timor-Leste,36.133275,36.767775,37.419275,37.99979999999999,38.481049999999996,39.2392,39.8531
Togo,52.681650000000005,53.364850000000004,53.987325,54.47715,54.981,55.3938,55.654900000000005
Tonga,50.105374999999995,50.464124999999996,50.93125,51.2193,51.7608,52.087050000000005,52.522949999999994
Tunisia,50.7822,50.70367499999998,50.692499999999995,50.60959999999998,50.40915,50.39185,50.411625
Turkey,51.01249999999999,51.63107499999998,52.290000000000006,52.95,53.577999999999996,54.210825,54.842999999999996
Uganda,50.0767,50.9218,51.624649999999995,52.3026,52.836000000000006,53.4016,53.88005000000001
Ukraine,46.460750000000004,47.143649999999994,47.83149999999999,48.38505,48.9804,49.50884999999998,50.00645
United Arab Emirates,62.512875,62.63505000000001,62.603125,62.60919999999998,62.653499999999994,62.73625,62.703899999999976
United Kingdom,58.378099999999996,59.325075,60.15560000000002,61.033500000000004,61.8744,62.55590000000001,63.32357499999999
United States,58.99105,59.4594,59.92740000000001,60.51517499999998,61.026600000000016,61.537625,62.051100000000005
Uruguay,56.648250000000004,58.177699999999994,59.52000000000002,60.78945,62.02525,63.151875000000004,64.28070000000001
Uzbekistan,60.20797500000001,60.606525,61.006275,61.249824999999994,61.564825,61.880625,62.07449999999999
Vanuatu,54.90875,55.639300000000006,56.2632,56.9578,57.551849999999995,58.18037500000002,58.734700000000004
Vietnam,56.81314999999999,57.152375,57.26654999999998,57.569399999999995,57.873549999999994,57.988,58.331100000000006
Yemen,50.935325,51.3271,51.59227500000001,52.083,52.34175,52.674125000000004,52.9992
Zambia,47.869575,49.1725,50.2385,51.227275000000006,52.044799999999995,52.742599999999996,53.2959
Zimbabwe,44.03925000000001,45.5651,47.0376,48.43,49.60445,50.50125,51.232350000000004
