country,2010,2011,2012,2013,2014,2015,2016
Papua New Guinea,44.05,42.45,41.05,39.7,38.650000000000006,37.25,36.15
Paraguay,18.150000000000002,17.2,16.35,15.5,14.75,14.0,13.3
Philippines,27.549999999999997,27.0,26.450000000000003,25.95,25.299999999999997,24.75,24.299999999999997
Poland,32.15,31.5,30.799999999999997,30.200000000000003,29.4,28.799999999999997,28.200000000000003
Portugal,24.15,23.95,23.8,23.55,23.450000000000003,23.35,23.15
Qatar,13.100000000000001,13.2,13.25,13.4,13.6,13.649999999999999,13.85
Romania,33.15,32.65,32.05,31.45,30.9,30.45,30.0
Russia,42.1,41.95,41.75,41.5,41.3,41.1,40.849999999999994
Rwanda,14.65,14.399999999999999,14.0,13.75,13.399999999999999,13.1,12.85
Samoa,32.65,31.65,30.7,29.9,29.1,28.2,27.4
Saudi Arabia,13.2,13.35,13.25,13.350000000000001,13.5,13.549999999999999,13.6
Senegal,9.35,9.200000000000001,9.100000000000001,8.85,8.8,8.6,8.5
Serbia,42.2,41.75,41.0,40.5,40.1,39.45,38.95
Seychelles,22.650000000000002,22.45,22.2,22.05,21.75,21.5,21.400000000000002
Sierra Leone,29.700000000000003,28.85,27.9,27.2,26.549999999999997,25.7,25.049999999999997
Singapore,16.599999999999998,16.599999999999998,16.55,16.7,16.7,16.7,16.75
Slovak Republic,30.75,30.700000000000003,30.599999999999998,30.45,30.400000000000002,30.45,30.400000000000002
Slovenia,24.05,23.9,23.55,23.3,23.049999999999997,22.8,22.55
South Africa,21.55,21.4,21.25,21.05,20.9,20.85,20.650000000000002
South Korea,27.15,26.5,25.849999999999998,25.25,24.7,24.1,23.55
Spain,32.75,32.15,31.599999999999998,31.0,30.450000000000003,29.75,29.4
Sri Lanka,14.55,14.4,14.2,14.149999999999999,13.9,13.9,13.65
Suriname,33.15,31.65,30.2,28.85,27.599999999999998,26.349999999999998,25.15
Sweden,23.049999999999997,22.299999999999997,21.549999999999997,20.85,20.1,19.5,18.85
Switzerland,27.75,27.3,27.049999999999997,26.75,26.4,26.15,25.75
Tanzania,17.3,16.849999999999998,16.45,16.1,15.6,15.35,15.0
Thailand,22.150000000000002,21.75,21.45,21.25,21.0,20.55,20.349999999999998
Timor-Leste,46.35,45.65,44.85,44.199999999999996,43.7,42.8,42.199999999999996
Togo,8.299999999999999,8.15,7.949999999999999,7.8999999999999995,7.75,7.6000000000000005,7.55
Tonga,30.650000000000002,30.25,29.75,29.45,28.9,28.55,28.1
